epoch,train_mse,val_mse,val_mae
1,0.3556270885792224,0.6605038843233024,0.5493453291738055
2,0.3531604893940432,0.6679981314006999,0.5513386865171539
3,0.3520622207033031,0.6724535168956169,0.5529286361896371
4,0.3517436305140707,0.6736884102412571,0.5530545334146095
