seed,metric,left_method,right_method,mean_difference,relative_difference_percent
7,mse,dynamic_joint_25,static_25,-0.001687306278055832,-0.442862586862879
42,mse,dynamic_joint_25,static_25,-0.0039035741687891094,-1.011425389022584
1234,mse,dynamic_joint_25,static_25,-0.0012777056524954744,-0.33621565915113416
2026,mse,dynamic_joint_25,static_25,-0.0014873208755650689,-0.3885164820502086
3407,mse,dynamic_joint_25,static_25,0.004353212710984946,1.1523828751426723
7,mse,dynamic_joint_25,unpruned_baseline,0.006248178783824242,1.6748254541482452
42,mse,dynamic_joint_25,unpruned_baseline,0.004797151604503448,1.271620581648234
1234,mse,dynamic_joint_25,unpruned_baseline,0.005121112586779911,1.37064914103016
2026,mse,dynamic_joint_25,unpruned_baseline,0.007661177033367875,2.050240925386329
3407,mse,dynamic_joint_25,unpruned_baseline,0.0076711782272671026,2.048709490213853
7,mse,static_25,unpruned_baseline,0.007935485061880075,2.127108207443983
42,mse,static_25,unpruned_baseline,0.008700725773292556,2.3063732149322584
1234,mse,static_25,unpruned_baseline,0.0063988182392753865,1.7126229065754104
2026,mse,static_25,unpruned_baseline,0.009148497908932945,2.4482693373370736
3407,mse,static_25,unpruned_baseline,0.003317965516282155,0.8861151755342831
7,mae,dynamic_joint_25,static_25,-0.00244664716763385,-0.6030492559910218
42,mae,dynamic_joint_25,static_25,-0.003839035126208404,-0.9344620265284089
1234,mae,dynamic_joint_25,static_25,-0.000515298836963181,-0.12739891628794134
2026,mae,dynamic_joint_25,static_25,-0.003366857895517265,-0.8249717019877885
3407,mae,dynamic_joint_25,static_25,0.0027790362145785155,0.6895932663509774
7,mae,dynamic_joint_25,unpruned_baseline,0.0035874980035333287,0.8975959140287535
42,mae,dynamic_joint_25,unpruned_baseline,0.004202220619687913,1.0432857593881826
1234,mae,dynamic_joint_25,unpruned_baseline,0.004769289333045589,1.1947355889696973
2026,mae,dynamic_joint_25,unpruned_baseline,0.004834853404300217,1.2089664036535945
3407,mae,dynamic_joint_25,unpruned_baseline,0.005433396173764815,1.3571884246179258
7,mae,static_25,unpruned_baseline,0.006034145171167179,1.5097497043793617
42,mae,static_25,unpruned_baseline,0.008041255745896318,1.9964034177517973
1234,mae,static_25,unpruned_baseline,0.005284588170008771,1.323821038914808
2026,mae,static_25,unpruned_baseline,0.00820171129981748,2.0508570963343495
3407,mae,static_25,unpruned_baseline,0.002654359959186301,0.6630229963298993
