setting,parameters,parameters_vs_baseline_percent,flops,flops_vs_baseline_percent,mean_ms_per_batch,mean_ms_per_sample,latency_vs_baseline_percent
B4_no_pruning,915936.0,0.0,120873984.0,0.0,8.979411400000572,0.2806066062500179,0.0
static_25,866496.0,-5.397757048527407,106423296.0,-11.955168119551685,8.906490980000399,0.27832784312501246,-0.8120846317406616
joint_trend,866496.0,-5.397757048527407,106423296.0,-11.955168119551685,9.357740439999134,0.29242938874997293,4.213294425941294
joint_seasonal,866496.0,-5.397757048527407,106423296.0,-11.955168119551685,12.42729901999894,0.3883530943749669,38.39770188052805
joint_residual,866496.0,-5.397757048527407,106423296.0,-11.955168119551685,13.71894421999798,0.42871700687493686,52.782221560726185
joint_dynamic_expected_weighted,866495.9999999999,-5.397757048527419,106423296.0,-11.955168119551685,9.580074309521542,0.2993773221725482,6.689334999406893
