seed,method,mean_ms_batch32
1234,static,9.118282366678917
2026,static,9.131237700019787
3407,static,9.11324489998151
42,static,9.111198799958705
7,static,9.105840000014117
7,dynamic_expected,9.220482467810474
42,dynamic_expected,9.029303729405544
1234,dynamic_expected,9.110421879708444
2026,dynamic_expected,9.059174431230572
3407,dynamic_expected,9.090552441458327
