scenario,stored_models,active_parameters,total_stored_checkpoint_bytes,flops_per_sample,gpu_model_ms_batch1,gpu_model_ms_batch32,detector_ms_per_window,total_e2e_ms_per_window_sequential,active_parameters_vs_baseline_percent,flops_vs_baseline_percent,stored_mib,model_only_batched_seconds_1000,e2e_sequential_seconds_1000,model_only_batched_seconds_1000000,e2e_sequential_seconds_1000000
unpruned_baseline,1,915936.0,6247662,120873984.0,7.222029425005871,13.67401547500151,0.0,7.222029425005871,0.0,0.0,5.958234786987305,0.43756849520004837,7.222029425005871,427.3129835937972,7222.029425005871
soft_mask_dynamic_single_dense_model,1,915936.0,6247998,120873984.0,7.222029425005871,13.67401547500151,56.61019507499759,63.83222450000346,0.0,0.0,5.958555221557617,0.43756849520004837,63.83222450000346,427.3129835937972,63832.22450000347
static_structural,1,866496.0,6050597,106423296.0,7.5534176000005,12.704028974999915,0.0,7.5534176000005,-5.397757048527407,-11.955168119551685,5.770298957824707,0.4065289271999973,7.553417600000501,397.0009054687473,7553.417600000501
dynamic_structural_three_models,3,866495.9999999999,18153492,106423296.0,8.587023006896082,12.985159635309873,56.61019507499759,65.19721808189368,-5.397757048527419,-11.955168119551685,17.312519073486328,0.41552510832991596,65.19721808189368,405.78623860343356,65197.21808189368
