seed,method,mean_ms_batch32,std_ms_batch32,p50_ms_batch32,p95_ms_batch32
1234,dynamic_residual,9.157219833355157,0.2389422270564358,9.167531000002782,9.445021850012836
1234,dynamic_seasonal,9.063400466682955,0.17462955703659416,9.053148000020883,9.378280449891463
1234,dynamic_trend,9.11170760001975,0.23379982773492264,9.077923000063493,9.496478300150102
1234,static,9.118282366678917,0.23013346060308423,9.12945949994537,9.450119700034065
2026,dynamic_residual,9.126323966681108,0.2267879937023273,9.126736500093102,9.443021449885691
2026,dynamic_seasonal,9.015305333317277,0.20262697428187354,9.033596499875785,9.257618299977821
2026,dynamic_trend,9.059887233350613,0.2066777426299114,9.0484050001578,9.348525700022492
2026,static,9.131237700019787,0.34979676057884335,9.053002500081675,9.570220199998401
3407,dynamic_residual,9.119165133324714,0.21839083805779846,9.078160499939258,9.425281600056223
3407,dynamic_seasonal,9.246918266664276,0.36647711725343773,9.207725000010214,9.963710249905942
3407,dynamic_trend,9.082459266664955,0.22082142695880222,9.072878000097262,9.349320500064096
3407,static,9.11324489998151,0.3114604896147738,9.050279000007322,9.604587499893569
42,dynamic_residual,9.050262966676806,0.23815235666582502,9.013535499889258,9.267143299996405
42,dynamic_seasonal,9.12019039998692,0.18240665543239104,9.135919999948783,9.38195815006111
42,dynamic_trend,9.024509933306035,0.18697163555575635,8.992512499844452,9.32282595003926
42,static,9.111198799958705,0.22188654462332438,9.067374499977632,9.412898449932072
7,dynamic_residual,9.060422799984735,0.1862958813077017,9.02955100013969,9.318525000014688
7,dynamic_seasonal,9.112813600040681,0.18822140378046465,9.1530544999614,9.362703500153202
7,dynamic_trend,9.228963600018384,0.29846652072529295,9.158114999991085,9.690279600010852
7,static,9.105840000014117,0.15964857765966747,9.075037999991764,9.323556600008942
