method,latency_mean_ms,latency_std_ms,min_ms,max_ms
dynamic_expected,9.101986989922672,0.07307332975392794,9.029303729405544,9.220482467810474
static,9.115960753330608,0.009634011310278181,9.105840000014117,9.131237700019787
