setting,val_mse,test_mse,test_mse_change_percent
B4_no_pruning,0.678066410579095,0.37254557146739276,0.0
B4_static_pruning_25,0.6536577488778952,0.37831396693815234,1.5483731152779148
B4_dynamic_75_independent,0.6597460945803987,0.37936756071004235,1.8311824821266716
B4_dynamic_75_joint,0.6535691904556173,0.3774158703949122,1.3073028645424982
