step,layer,head,resulting_mse,remaining_heads
1,1,6,0.7828450873494148,23
2,2,5,0.7784978970885277,22
3,0,5,0.7732765637338161,21
4,0,4,0.7689311429858208,20
5,0,3,0.7654384635388851,19
6,2,3,0.7652683295309544,18
