experiment_id,method,pruning_ratio,val_mse,val_mae,test_mse,test_mae
B4_no_pruning,no_pruning,0.0,0.678066410600497,0.5550830315216654,0.37254557146739276,0.3982142798241422
B4_random_pruning_25,random_pruning_5seed_mean,0.25,0.6866635325117642,0.5604646434240323,0.3798793071594016,0.40263114257282584
B4_magnitude_pruning_25,magnitude_based_pruning,0.25,0.6683907765808182,0.5522495830615505,0.38097486596026153,0.4043945164933025
