layer,head,baseline_overall_mse,masked_overall_mse,overall_importance,baseline_trend_mse,masked_trend_mse,trend_importance,baseline_seasonal_mse,masked_seasonal_mse,seasonal_importance,baseline_residual_mse,masked_residual_mse,residual_importance
0,5,0.6780664091023552,0.6665307598974375,-0.011535649204917675,0.6769503823602825,0.6630467051935174,-0.013903677166765105,0.7066892384717317,0.6495560516590533,-0.05713318681267843,0.6614194310848759,0.7010477168438827,0.03962828575900679
1,7,0.6780664091023552,0.667221767467378,-0.010844641634977115,0.6769503823602825,0.671467128805921,-0.005483253554361522,0.7066892384717317,0.664152622503573,-0.04253661596815872,0.6614194310848759,0.6444824617096641,-0.01693696937521183
2,0,0.6780664091023552,0.6681741561881087,-0.009892252914246447,0.6769503823602825,0.6702659756936754,-0.006684406666607079,0.7066892384717317,0.6436126855750607,-0.06307655289667102,0.6614194310848759,0.6757173500436262,0.014297918958750322
1,4,0.6780664091023552,0.6697150937182899,-0.008351315384065305,0.6769503823602825,0.682598503594546,0.005648121234263503,0.7066892384717317,0.5955892531839135,-0.11109998528781817,0.6614194310848759,0.6534241431893413,-0.007995287895534609
1,1,0.6780664091023552,0.6722439634762504,-0.0058224456261047886,0.6769503823602825,0.6776476198774191,0.000697237517136573,0.7066892384717317,0.5940952632729322,-0.11259397519879955,0.6614194310848759,0.703686909713785,0.042267478628909116
0,3,0.6780664091023552,0.6729929600332327,-0.005073449069122438,0.6769503823602825,0.679229134492988,0.0022787521327055638,0.7066892384717317,0.6324688218891212,-0.07422041658261047,0.6614194310848759,0.668884469896638,0.007465038811762081
