layer,head,baseline_overall_mse,masked_overall_mse,overall_importance,baseline_trend_mse,masked_trend_mse,trend_importance,baseline_seasonal_mse,masked_seasonal_mse,seasonal_importance,baseline_residual_mse,masked_residual_mse,residual_importance
0,4,0.6780664091023552,0.6879028438959987,0.00983643479364349,0.6769503823602825,0.6998499852955173,0.022899602935234853,0.7066892384717317,0.6469411256480707,-0.05974811282366099,0.6614194310848759,0.6502026265751685,-0.011216804509707412
0,1,0.6780664091023552,0.6952248891765382,0.01715848007418308,0.6769503823602825,0.6975615389938374,0.02061115663355495,0.7066892384717317,0.6958521703538829,-0.010837068117848792,0.6614194310848759,0.6808249537617715,0.01940552267689566
2,2,0.6780664091023552,0.689920673662499,0.011854264560143823,0.6769503823602825,0.6898558481221961,0.012905465761913648,0.7066892384717317,0.7009795946515587,-0.005709643820173027,0.6614194310848759,0.6813110156519168,0.019891584567040876
2,6,0.6780664091023552,0.6797052566142656,0.0016388475119104573,0.6769503823602825,0.6880047745171728,0.011054392156890303,0.7066892384717317,0.6703477126533446,-0.03634152581838712,0.6614194310848759,0.637981667844864,-0.0234377632400119
1,6,0.6780664091023552,0.6913463685815382,0.013279959479183034,0.6769503823602825,0.6879436833803186,0.01099330102003615,0.7066892384717317,0.6835384589862333,-0.023150779485498374,0.6614194310848759,0.7179236382785614,0.05650420719368554
1,0,0.6780664091023552,0.6903079948530163,0.012241585750661144,0.6769503823602825,0.6854777382625635,0.008527355902281042,0.7066892384717317,0.7130782273534226,0.006388988881690927,0.6614194310848759,0.700499804529639,0.03908037344476312
0,7,0.6780664091023552,0.6845791089497306,0.006512699847375458,0.6769503823602825,0.6826648265542331,0.0057144441939506185,0.7066892384717317,0.6836618663717623,-0.023027372099969412,0.6614194310848759,0.6967042160939041,0.03528478500902821
1,4,0.6780664091023552,0.6697150937182899,-0.008351315384065305,0.6769503823602825,0.682598503594546,0.005648121234263503,0.7066892384717317,0.5955892531839135,-0.11109998528781817,0.6614194310848759,0.6534241431893413,-0.007995287895534609
1,5,0.6780664091023552,0.6758955255338063,-0.002170883568548887,0.6769503823602825,0.6807523991985922,0.0038020168383097186,0.7066892384717317,0.6665683987052882,-0.04012083976644354,0.6614194310848759,0.6546112710303915,-0.006808160054484369
0,0,0.6780664091023552,0.6821587713097541,0.004092362207398947,0.6769503823602825,0.6802463542177729,0.0032959718574904207,0.7066892384717317,0.7088791292722094,0.002189890800477712,0.6614194310848759,0.6717931823104537,0.01037375122557782
0,3,0.6780664091023552,0.6729929600332327,-0.005073449069122438,0.6769503823602825,0.679229134492988,0.0022787521327055638,0.7066892384717317,0.6324688218891212,-0.07422041658261047,0.6614194310848759,0.668884469896638,0.007465038811762081
1,2,0.6780664091023552,0.6739166673573814,-0.004149741744973734,0.6769503823602825,0.6781211976510069,0.0011708152907243807,0.7066892384717317,0.6805561256327041,-0.02613311283902764,0.6614194310848759,0.6435233819451505,-0.017896049139725423
