layer,head,overall_importance,trend_importance,seasonal_importance,residual_importance
0,2,-0.009167016004522632,-0.005073487857757297,-0.012288123963578534,-0.006644404379157698
0,7,-0.008661575950682177,-0.008531940782942449,-0.009398360123586413,-0.006574561164195358
2,1,-0.007066083053747785,-0.0037250040953941688,-0.008814371935087217,-0.007521374202646314
2,0,-0.00686169381439683,-0.008200228842029034,-0.007640049563505558,-0.002026711704702755
1,5,-0.004692546022435018,2.3056209880356615e-05,-0.0055508992012272,-0.01039803011909779
2,7,-0.003713329091668105,0.0006342365875212086,-0.005757958207036062,-0.005030433224006148
