layer,head,overall_importance,trend_importance,seasonal_importance,residual_importance
0,0,0.00498537321637077,0.005007684197764151,0.005915540935069186,0.002019065877665649
0,1,0.0012182263185580577,0.003929158899842244,9.613051711016007e-05,-8.391730281204213e-05
0,2,-0.009167016004522632,-0.005073487857757297,-0.012288123963578534,-0.006644404379157698
0,3,0.007750499581297254,0.0080325397974636,0.006147869689455576,0.012289998618510378
0,4,0.013829544958968987,0.007415820755675706,0.014857796666647605,0.022027573640285236
0,5,0.011656145696838704,0.013015015187059942,0.01303431661752752,0.004897749677241547
0,6,0.014746782834331174,0.01582407311199774,0.014365651312485406,0.014025528985167679
0,7,-0.008661575950682177,-0.008531940782942449,-0.009398360123586413,-0.006574561164195358
1,0,-0.0020132640600204477,-0.002698154702881761,-0.0017662748282578633,-0.0015694606946155543
1,1,-0.0020227950190504496,-0.0002832872309864731,-0.003255668919926624,-0.0012447333088505541
1,2,-0.0012486359253525703,0.0028657733881949365,-0.003298009942337199,-0.0021351848695824738
1,3,-0.00226629468301931,-0.0012515697900841727,-0.00338834081893441,-0.0005449199894436152
1,4,-0.00034453743696211125,0.006923059426958422,-0.004436791102266191,-0.000424585927263077
1,5,-0.004692546022435018,2.3056209880356615e-05,-0.0055508992012272,-0.01039803011909779
1,6,0.01574578186621267,0.0117102696450877,0.019001415879208228,0.012696498614761631
1,7,0.00441462644437951,0.005384136272177209,0.004443111586099002,0.0025967485584288963
2,0,-0.00686169381439683,-0.008200228842029034,-0.007640049563505558,-0.002026711704702755
2,1,-0.007066083053747785,-0.0037250040953941688,-0.008814371935087217,-0.007521374202646314
2,2,0.008504969264070183,0.01347901714251204,0.007694711810417809,0.0021874567736749895
2,3,0.00599243907382091,0.012357204970790125,0.004065837271174599,0.0007081134428855163
2,4,-0.0028639261350035805,0.0078101785824594705,-0.008015181686747919,-0.005684565693846844
2,5,0.018804271399974815,0.011437061381115332,0.02225994321999686,0.021064733652022494
2,6,0.005510398360590141,0.004761749097949353,0.006270772679217496,0.0044526231029758945
2,7,-0.003713329091668105,0.0006342365875212086,-0.005757958207036062,-0.005030433224006148
